numero_experimento;dataset;estructura_de_datos;cantidad_consultas;tiempo_ejecucion_us
2;auspol2019;ClosedHash_Double_UserID;90000;1194
2;auspol2019;ClosedHash_Double_UserID;100000;1307
2;auspol2019;ClosedHash_Double_UserID;110000;1494
2;auspol2019;ClosedHash_Double_UserID;120000;1653
2;auspol2019;ClosedHash_Double_UserID;130000;1799
2;auspol2019;ClosedHash_Double_UserID;130449;1810
2;auspol2019;ClosedHash_Double_ScreenName;10000;1074
2;auspol2019;ClosedHash_Double_ScreenName;20000;2211
2;auspol2019;ClosedHash_Double_ScreenName;30000;3360
2;auspol2019;ClosedHash_Double_ScreenName;40000;4519
2;auspol2019;ClosedHash_Double_ScreenName;50000;5684
2;auspol2019;ClosedHash_Double_ScreenName;60000;6851
2;auspol2019;ClosedHash_Double_ScreenName;70000;7952
2;auspol2019;ClosedHash_Double_ScreenName;80000;9032
2;auspol2019;ClosedHash_Double_ScreenName;90000;10134
2;auspol2019;ClosedHash_Double_ScreenName;100000;11226
2;auspol2019;ClosedHash_Double_ScreenName;110000;12577
2;auspol2019;ClosedHash_Double_ScreenName;120000;13853
2;auspol2019;ClosedHash_Double_ScreenName;130000;15066
2;auspol2019;ClosedHash_Double_ScreenName;130449;15135
3;auspol2019;STL_UnorderedMap_UserID;10000;872
3;auspol2019;STL_UnorderedMap_UserID;20000;1618
3;auspol2019;STL_UnorderedMap_UserID;30000;2063
3;auspol2019;STL_UnorderedMap_UserID;40000;2526
3;auspol2019;STL_UnorderedMap_UserID;50000;3280
3;auspol2019;STL_UnorderedMap_UserID;60000;3641
3;auspol2019;STL_UnorderedMap_UserID;70000;3942
3;auspol2019;STL_UnorderedMap_UserID;80000;4256
3;auspol2019;STL_UnorderedMap_UserID;90000;4539
3;auspol2019;STL_UnorderedMap_UserID;100000;4833
3;auspol2019;STL_UnorderedMap_UserID;110000;5310
3;auspol2019;STL_UnorderedMap_UserID;120000;5711
3;auspol2019;STL_UnorderedMap_UserID;130000;6105
3;auspol2019;STL_UnorderedMap_UserID;130449;6129
3;auspol2019;STL_UnorderedMap_ScreenName;10000;1277
3;auspol2019;STL_UnorderedMap_ScreenName;20000;2466
3;auspol2019;STL_UnorderedMap_ScreenName;30000;3263
3;auspol2019;STL_UnorderedMap_ScreenName;40000;4073
3;auspol2019;STL_UnorderedMap_ScreenName;50000;5173
3;auspol2019;STL_UnorderedMap_ScreenName;60000;5941
3;auspol2019;STL_UnorderedMap_ScreenName;70000;6481
3;auspol2019;STL_UnorderedMap_ScreenName;80000;7038
3;auspol2019;STL_UnorderedMap_ScreenName;90000;7570
3;auspol2019;STL_UnorderedMap_ScreenName;100000;8120
3;auspol2019;STL_UnorderedMap_ScreenName;110000;8914
3;auspol2019;STL_UnorderedMap_ScreenName;120000;9614
3;auspol2019;STL_UnorderedMap_ScreenName;130000;10285
3;auspol2019;STL_UnorderedMap_ScreenName;130449;10322
3;auspol2019;OpenHash_UserID;10000;566
3;auspol2019;OpenHash_UserID;20000;1084
3;auspol2019;OpenHash_UserID;30000;1478
3;auspol2019;OpenHash_UserID;40000;1919
3;auspol2019;OpenHash_UserID;50000;2355
3;auspol2019;OpenHash_UserID;60000;2737
3;auspol2019;OpenHash_UserID;70000;3056
3;auspol2019;OpenHash_UserID;80000;3297
3;auspol2019;OpenHash_UserID;90000;3492
3;auspol2019;OpenHash_UserID;100000;3704
3;auspol2019;OpenHash_UserID;110000;4165
3;auspol2019;OpenHash_UserID;120000;4515
3;auspol2019;OpenHash_UserID;130000;4795
3;auspol2019;OpenHash_UserID;130449;4816
3;auspol2019;OpenHash_ScreenName;10000;1716
3;auspol2019;OpenHash_ScreenName;20000;3255
3;auspol2019;OpenHash_ScreenName;30000;4702
3;auspol2019;OpenHash_ScreenName;40000;6134
3;auspol2019;OpenHash_ScreenName;50000;7464
3;auspol2019;OpenHash_ScreenName;60000;8791
3;auspol2019;OpenHash_ScreenName;70000;9869
3;auspol2019;OpenHash_ScreenName;80000;10966
3;auspol2019;OpenHash_ScreenName;90000;11997
3;auspol2019;OpenHash_ScreenName;100000;13060
3;auspol2019;OpenHash_ScreenName;110000;14431
3;auspol2019;OpenHash_ScreenName;120000;15696
3;auspol2019;OpenHash_ScreenName;130000;16889
3;auspol2019;OpenHash_ScreenName;130449;16955
3;auspol2019;ClosedHash_Linear_UserID;10000;115
3;auspol2019;ClosedHash_Linear_UserID;20000;251
3;auspol2019;ClosedHash_Linear_UserID;30000;385
3;auspol2019;ClosedHash_Linear_UserID;40000;518
3;auspol2019;ClosedHash_Linear_UserID;50000;651
3;auspol2019;ClosedHash_Linear_UserID;60000;781
3;auspol2019;ClosedHash_Linear_UserID;70000;890
3;auspol2019;ClosedHash_Linear_UserID;80000;991
3;auspol2019;ClosedHash_Linear_UserID;90000;1101
3;auspol2019;ClosedHash_Linear_UserID;100000;1201
3;auspol2019;ClosedHash_Linear_UserID;110000;1365
3;auspol2019;ClosedHash_Linear_UserID;120000;1505
3;auspol2019;ClosedHash_Linear_UserID;130000;1632
3;auspol2019;ClosedHash_Linear_UserID;130449;1641
3;auspol2019;ClosedHash_Linear_ScreenName;10000;1059
3;auspol2019;ClosedHash_Linear_ScreenName;20000;2171
3;auspol2019;ClosedHash_Linear_ScreenName;30000;3290
3;auspol2019;ClosedHash_Linear_ScreenName;40000;4428
3;auspol2019;ClosedHash_Linear_ScreenName;50000;5569
3;auspol2019;ClosedHash_Linear_ScreenName;60000;6704
3;auspol2019;ClosedHash_Linear_ScreenName;70000;7793
3;auspol2019;ClosedHash_Linear_ScreenName;80000;8880
3;auspol2019;ClosedHash_Linear_ScreenName;90000;9954
3;auspol2019;ClosedHash_Linear_ScreenName;100000;11004
3;auspol2019;ClosedHash_Linear_ScreenName;110000;12185
3;auspol2019;ClosedHash_Linear_ScreenName;120000;13323
3;auspol2019;ClosedHash_Linear_ScreenName;130000;14431
3;auspol2019;ClosedHash_Linear_ScreenName;130449;14486
3;auspol2019;ClosedHash_Quad_UserID;10000;200
3;auspol2019;ClosedHash_Quad_UserID;20000;433
3;auspol2019;ClosedHash_Quad_UserID;30000;595
3;auspol2019;ClosedHash_Quad_UserID;40000;754
3;auspol2019;ClosedHash_Quad_UserID;50000;910
3;auspol2019;ClosedHash_Quad_UserID;60000;1054
3;auspol2019;ClosedHash_Quad_UserID;70000;1176
3;auspol2019;ClosedHash_Quad_UserID;80000;1285
3;auspol2019;ClosedHash_Quad_UserID;90000;1394
3;auspol2019;ClosedHash_Quad_UserID;100000;1496
3;auspol2019;ClosedHash_Quad_UserID;110000;1645
3;auspol2019;ClosedHash_Quad_UserID;120000;1771
3;auspol2019;ClosedHash_Quad_UserID;130000;1885
3;auspol2019;ClosedHash_Quad_UserID;130449;1891
3;auspol2019;ClosedHash_Quad_ScreenName;10000;1376
3;auspol2019;ClosedHash_Quad_ScreenName;20000;2528
3;auspol2019;ClosedHash_Quad_ScreenName;30000;3590
3;auspol2019;ClosedHash_Quad_ScreenName;40000;4668
3;auspol2019;ClosedHash_Quad_ScreenName;50000;5721
3;auspol2019;ClosedHash_Quad_ScreenName;60000;6749
3;auspol2019;ClosedHash_Quad_ScreenName;70000;7747
3;auspol2019;ClosedHash_Quad_ScreenName;80000;8725
3;auspol2019;ClosedHash_Quad_ScreenName;90000;9707
3;auspol2019;ClosedHash_Quad_ScreenName;100000;10674
3;auspol2019;ClosedHash_Quad_ScreenName;110000;11732
3;auspol2019;ClosedHash_Quad_ScreenName;120000;12761
3;auspol2019;ClosedHash_Quad_ScreenName;130000;13772
3;auspol2019;ClosedHash_Quad_ScreenName;130449;13822
3;auspol2019;ClosedHash_Double_UserID;10000;125
3;auspol2019;ClosedHash_Double_UserID;20000;282
3;auspol2019;ClosedHash_Double_UserID;30000;427
3;auspol2019;ClosedHash_Double_UserID;40000;573
3;auspol2019;ClosedHash_Double_UserID;50000;719
3;auspol2019;ClosedHash_Double_UserID;60000;862
3;auspol2019;ClosedHash_Double_UserID;70000;985
3;auspol2019;ClosedHash_Double_UserID;80000;1101
3;auspol2019;ClosedHash_Double_UserID;90000;1221
3;auspol2019;ClosedHash_Double_UserID;100000;1338
3;auspol2019;ClosedHash_Double_UserID;110000;1543
3;auspol2019;ClosedHash_Double_UserID;120000;1722
3;auspol2019;ClosedHash_Double_UserID;130000;1875
3;auspol2019;ClosedHash_Double_UserID;130449;1887
3;auspol2019;ClosedHash_Double_ScreenName;10000;1112
3;auspol2019;ClosedHash_Double_ScreenName;20000;2250
3;auspol2019;ClosedHash_Double_ScreenName;30000;3401
3;auspol2019;ClosedHash_Double_ScreenName;40000;4570
3;auspol2019;ClosedHash_Double_ScreenName;50000;5738
3;auspol2019;ClosedHash_Double_ScreenName;60000;6906
3;auspol2019;ClosedHash_Double_ScreenName;70000;8006
3;auspol2019;ClosedHash_Double_ScreenName;80000;9063
3;auspol2019;ClosedHash_Double_ScreenName;90000;10143
3;auspol2019;ClosedHash_Double_ScreenName;100000;11188
3;auspol2019;ClosedHash_Double_ScreenName;110000;12430
3;auspol2019;ClosedHash_Double_ScreenName;120000;13613
3;auspol2019;ClosedHash_Double_ScreenName;130000;14812
3;auspol2019;ClosedHash_Double_ScreenName;130449;14875
4;auspol2019;STL_UnorderedMap_UserID;10000;881
4;auspol2019;STL_UnorderedMap_UserID;20000;1624
4;auspol2019;STL_UnorderedMap_UserID;30000;2069
4;auspol2019;STL_UnorderedMap_UserID;40000;2538
4;auspol2019;STL_UnorderedMap_UserID;50000;3284
4;auspol2019;STL_UnorderedMap_UserID;60000;3645
4;auspol2019;STL_UnorderedMap_UserID;70000;3930
4;auspol2019;STL_UnorderedMap_UserID;80000;4244
4;auspol2019;STL_UnorderedMap_UserID;90000;4524
4;auspol2019;STL_UnorderedMap_UserID;100000;4817
4;auspol2019;STL_UnorderedMap_UserID;110000;5297
4;auspol2019;STL_UnorderedMap_UserID;120000;5691
4;auspol2019;STL_UnorderedMap_UserID;130000;6077
4;auspol2019;STL_UnorderedMap_UserID;130449;6106
4;auspol2019;STL_UnorderedMap_ScreenName;10000;1292
4;auspol2019;STL_UnorderedMap_ScreenName;20000;2462
4;auspol2019;STL_UnorderedMap_ScreenName;30000;3267
4;auspol2019;STL_UnorderedMap_ScreenName;40000;4086
4;auspol2019;STL_UnorderedMap_ScreenName;50000;5212
4;auspol2019;STL_UnorderedMap_ScreenName;60000;5960
4;auspol2019;STL_UnorderedMap_ScreenName;70000;6494
4;auspol2019;STL_UnorderedMap_ScreenName;80000;7059
4;auspol2019;STL_UnorderedMap_ScreenName;90000;7559
4;auspol2019;STL_UnorderedMap_ScreenName;100000;8102
4;auspol2019;STL_UnorderedMap_ScreenName;110000;8888
